제목,작가,날짜,링크,유료,성인,미리보기,카테고리,장르,키워드,공,수,엔딩,AI제안장르,AI제안키워드,AI제안공,AI제안수,AI제안엔딩,요약,본문추출,AI원본응답,AI신뢰도,AI처리일시,정리메모,시리즈,시리즈명,시리즈회차,연재상태,상태근거,시리즈열통일,시리즈열통일메모,장르키워드5개제한,장르키워드5개제한메모
karma cXmes C,이오,2026-01-09,https://www.postype.com/@92x954ever/post/21265918,X,X,이오 2026. 1. 9.  ·  때를 놓친 사랑은 재난일 뿐이다 karma cXmes C 우리 릴스 대박 났더라고요. 고마워서 그런데 언제 한 번 밥 먹을래요? 누가 봐도 허튼 ,글,"학원물, 첫사랑물","첫사랑, 짝사랑, 오해, 상처, 질투","헤테로공, 다정공","짝사랑수, 상처수",,캠퍼스물,불안감,,,,헤테로였던 승협과 연애를 시작했으나 관계의 불안감을 느끼는 회승,"헤테로일 게 분명한 승협, 이 관계는 온전히 내가 원하는 대로... 두려움이 됐다","{""id"":""124"",""category"":""글"",""genres"":[""현대물"",""학원물"",""첫사랑물""],""keywords"":[""첫사랑"",""짝사랑"",""오해"",""상처"",""질투""],""top"":[""헤테로공"",""다정공""],""bottom"":[""짝사랑수"",""상처수""],""ending"":[],""suggested_genres"":[""캠퍼스물""],""suggested_keywords"":[""불안감""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""헤테로였던 승협과 연애를 시작했으나 관계의 불안감을 느끼는 회승"",""evidence"":""헤테로일 게 분명한 승협, 이 관계는 온전히 내가 원하는 대로... 두려움이 됐다"",""confidence"":0.85,""note"":""과거 회상과 관계의 주도권에 대한 불안 묘사""}",0.85,2026-06-14 21:47,,,,,,,,,Y,"장르 현대물 제거: 현대물, 학원물, 첫사랑물 -> 학원물, 첫사랑물"
[승협회승] Love You Like That 3,HE,2026-01-08,https://www.postype.com/@sober-sz/post/20709116,X,O,"HE 2026. 1. 8.  ·  sober [승협회승] Love You Like That 3 혚쾌 이승협 유회승 서동성 ""동성아."" 흔들리지 않는 편안함. 안정감과 단단함 같은 ",글,현대물,외전,,,,,,,,,승협과 회승의 관계를 다룬 성인 소설,[승협회승] Love You Like That 3,"{""id"":""152"",""category"":""글"",""genres"":[""현대물""],""keywords"":[""외전""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""summary"":""승협과 회승의 관계를 다룬 성인 소설"",""evidence"":""[승협회승] Love You Like That 3"",""confidence"":0.8,""note"":""미리보기 기준 분류""}",0.8,2026-06-14 21:49,,Y,Love You Like That,3,연재중,숫자회차,,,,
극야 下,씅,2026-01-06,https://www.postype.com/@sseunggu/post/21184410,X,X,씅 2026. 1. 6.  ·  N.Flying 구독 극야 下 혚쾌(학) *분량조절 실패로 상하로 나눕니다 지이잉- 울리는 진동소리에 힐끗 휴대폰 알림을 확인한 회승은 무심히 모니,글,"피폐물, 첫사랑물","원나잇, 상처, 오해, 첫사랑, 짝사랑","집착공, 다정공","상처수, 까칠수, 무심수",,리치맨물,과거상처,,,,원나잇 이후 다가오는 승협을 밀어내며 과거의 상처를 곱씹는 회승,"원나잇한 사이, 한 번 잔 사람이랑 두 번 연락 안합니다, 김재현 너가 가면 어떡해","{""id"":""125"",""category"":""글"",""genres"":[""현대물"",""피폐물""],""keywords"":[""원나잇"",""상처"",""오해""],""top"":[""집착공""],""bottom"":[""상처수"",""까칠수"",""무심수""],""ending"":[],""suggested_genres"":[""리치맨물""],""suggested_keywords"":[""과거상처""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""원나잇 이후 다가오는 승협을 밀어내며 과거의 상처를 곱씹는 회승"",""evidence"":""원나잇한 사이, 한 번 잔 사람이랑 두 번 연락 안합니다, 김재현 너가 가면 어떡해"",""confidence"":0.85,""note"":""원나잇 관계와 과거 트라우마가 얽힌 갈등""}",0.85,2026-06-14 21:47,,Y,극야,下,완결,하편표기,Y,"장르: 현대물, 피폐물 -> 현대물, 피폐물, 첫사랑물 / 키워드: 원나잇, 상처, 오해 -> 원나잇, 상처, 오해, 첫사랑, 짝사랑 / 공: 집착공 -> 집착공, 다정공",Y,"장르 현대물 제거: 현대물, 피폐물, 첫사랑물 -> 피폐물, 첫사랑물"
피차일반,또마토,2026-01-04,https://www.postype.com/@hamang222/post/20395238,X,X,"또마토 2026. 1. 4.  ·  말랑말랑 하망이네 피차일반 06화 웅- 웅- 요란하게 울려대는 진동에 두 눈도 뜨지 못한 채 손을 뻗어 잡히는 핸드폰의 통화버튼을 눌렀다. ""여",글,"혐관물, 일상물, 학원물","오해, 코믹, 상처, 소꿉친구, 재회","능글공, 까칠공, 상처공","까칠수, 잔망수, 다정수, 단정수",,배틀호모,"필름끊김, 옷장숨기기",,,,술에 취해 필름이 끊긴 채 불편한 상대인 승협을 집에 데려와 겪는 소동,"엮이고 싶지 않은 사람과 술을 먹고 필름이 끊긴 채, 옷장 문을 닫아버렸다","{""id"":""126"",""category"":""글"",""genres"":[""현대물"",""혐관물""],""keywords"":[""오해"",""코믹""],""top"":[""능글공""],""bottom"":[""까칠수"",""잔망수""],""ending"":[],""suggested_genres"":[""배틀호모""],""suggested_keywords"":[""필름끊김"",""옷장숨기기""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""술에 취해 필름이 끊긴 채 불편한 상대인 승협을 집에 데려와 겪는 소동"",""evidence"":""엮이고 싶지 않은 사람과 술을 먹고 필름이 끊긴 채, 옷장 문을 닫아버렸다"",""confidence"":0.85,""note"":""필름이 끊겨 한 침대에서 깬 후 누나의 방문으로 옷장에 숨기는 코믹한 상황""}",0.85,2026-06-14 21:47,,Y,피차일반,,연재중,반복제목,Y,"장르: 현대물, 혐관물 -> 현대물, 혐관물, 일상물, 학원물 / 키워드: 오해, 코믹 -> 오해, 코믹, 상처, 소꿉친구, 재회, 친구에서연인, 일상물, 대학생 / 공: 능글공 -> 능글공, 까칠공, 상처공 / 수: 까칠수, 잔망수 -> 까칠수, 잔망수, 다정수, 단정수",Y,"장르 현대물 제거: 현대물, 혐관물, 일상물, 학원물 -> 혐관물, 일상물, 학원물 / 키워드 5개 제한: 오해, 코믹, 상처, 소꿉친구, 재회, 친구에서연인, 일상물, 대학생 -> 오해, 코믹, 상처, 소꿉친구, 재회"
하루의 마무리 4,터넛,2026-01-04,https://www.postype.com/@tternut/post/21268608,X,O,터넛 2026. 1. 4.  ·  행복해버리기 하루의 마무리 4 그날 이후로 묘하게 승협이 형이 나를 멀리하기 시작했다. 그것도 아주 미세하게 아무도 눈치채지 못할 정도로만 말이다,글,"연예계물, 리얼물, 일상물, 재회물","달달물, 잔잔물, 비밀연애, 일상물, 오해","다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공","다정수, 단정수, 상처수, 잔망수, 순진수",,아이돌물,거리두기,,,,어떤 사건 이후 묘하게 거리를 두기 시작한 승협으로 인해 고민하는 회승,그날 이후로 묘하게 승협이 형이 나를 멀리하기 시작했다,"{""id"":""127"",""category"":""글"",""genres"":[""현대물"",""일상물"",""리얼물""],""keywords"":[""오해"",""상처""],""top"":[""다정공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[""아이돌물""],""suggested_keywords"":[""거리두기""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""어떤 사건 이후 묘하게 거리를 두기 시작한 승협으로 인해 고민하는 회승"",""evidence"":""그날 이후로 묘하게 승협이 형이 나를 멀리하기 시작했다"",""confidence"":0.8,""note"":""성인 인증 글이나 미리보기 내용 기반으로 분류""}",0.8,2026-06-14 21:47,genre: 연예계물,Y,하루의 마무리,4,연재중,숫자회차,Y,"장르: 현대물, 일상물, 리얼물, 연예계물 -> 연예계물, 리얼물, 일상물, 현대물, 재회물 / 키워드: 오해, 상처 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 / 공: 다정공 -> 다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공 / 수: 상처수 -> 다정수, 단정수, 상처수, 잔망수, 순진수",Y,"장르 현대물 제거: 연예계물, 리얼물, 일상물, 현대물, 재회물 -> 연예계물, 리얼물, 일상물, 재회물 / 키워드 5개 제한: 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해"
karma cXmes B,이오,2026-01-03,https://www.postype.com/@92x954ever/post/21130371,X,X,이오 2026. 1. 3.  ·  때를 놓친 사랑은 재난일 뿐이다 karma cXmes B 오랫동안 비어있던 원천시 SBC 건물 앞 일 층이 공사를 시작했다. 회승이 당직실에서 내,글,재회물,"재회, 상처",,,,,방송국,,,,7년 만에 재회한 두 사람의 어색하고 상처받은 관계를 다룬 현대재회물,"7년의 세월을 지나, 재회, 이승협 X 유회승","{""id"":""128"",""category"":""글"",""genres"":[""현대물"",""재회물""],""keywords"":[""재회"",""상처""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""방송국""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""7년 만에 재회한 두 사람의 어색하고 상처받은 관계를 다룬 현대재회물"",""evidence"":""7년의 세월을 지나, 재회, 이승협 X 유회승"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 21:47,,,,,,,,,Y,"장르 현대물 제거: 현대물, 재회물 -> 재회물"
알오물,lily,2026-01-03,https://www.postype.com/@19921995/post/21252936,X,O,"lily 2026. 1. 3.  ·  무정형 구독 알오물 우성 알파 이승협 X 열성 오메가 유회승 完 소재, 용어 주의보고 싶은 것 위주, 맥락 없음새해 복 많이 받으세요. 12.",글,오메가버스,외전,우성알파공,열성오메가수,,,,,,,우성 알파 이승협과 열성 오메가 유회승의 오메가버스 세계관 글,"우성 알파 이승협 X 열성 오메가 유회승, 알오물","{""id"":""129"",""category"":""글"",""genres"":[""오메가버스""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""우성 알파 이승협과 열성 오메가 유회승의 오메가버스 세계관 글"",""evidence"":""우성 알파 이승협 X 열성 오메가 유회승, 알오물"",""confidence"":0.95,""note"":""미리보기 기반 분류""}",0.95,2026-06-14 21:47,,Y,알오물,,연재중,반복제목,Y,"장르: 오메가버스 -> 현대물, 오메가버스 / 키워드: (빈칸) -> 외전 / 공: (빈칸) -> 우성알파공 / 수: (빈칸) -> 열성오메가수",Y,"장르 현대물 제거: 현대물, 오메가버스 -> 오메가버스"
하루의 마무리 3,터넛,2026-01-03,https://www.postype.com/@tternut/post/21258975,X,X,터넛 2026. 1. 3.  ·  행복해버리기 하루의 마무리 3 내가 우리 팀에 합류하게 되었다는 이야기를 처음 들었을 때는 정말 기적이 일어난 줄 알았다. 봐 온지 오래 된 친형,글,"연예계물, 리얼물, 일상물, 재회물","달달물, 잔잔물, 비밀연애, 일상물, 오해","다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공","다정수, 단정수, 상처수, 잔망수, 순진수",,,"아이돌, 멤버시점",,,,같은 팀 멤버의 시선에서 바라본 두 사람의 비밀 연애 정황,"우리 팀에 합류, 승협이 형, 회승이 형, 비밀스러워 보이는 건","{""id"":""130"",""category"":""글"",""genres"":[""리얼물"",""현대물""],""keywords"":[""비밀연애"",""사내연애""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""아이돌"",""멤버시점""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""같은 팀 멤버의 시선에서 바라본 두 사람의 비밀 연애 정황"",""evidence"":""우리 팀에 합류, 승협이 형, 회승이 형, 비밀스러워 보이는 건"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 21:47,,Y,하루의 마무리,3,연재중,숫자회차,Y,"장르: 리얼물, 현대물 -> 연예계물, 리얼물, 일상물, 현대물, 재회물 / 키워드: 비밀연애, 사내연애 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 / 공: (빈칸) -> 다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공 / 수: (빈칸) -> 다정수, 단정수, 상처수, 잔망수, 순진수",Y,"장르 현대물 제거: 연예계물, 리얼물, 일상물, 현대물, 재회물 -> 연예계물, 리얼물, 일상물, 재회물 / 키워드 5개 제한: 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해"
하루의 마무리 2,터넛,2026-01-01,https://www.postype.com/@tternut/post/21241354,X,X,"터넛 2026. 1. 1.  ·  행복해버리기 하루의 마무리 2 언제부터였을까 눈을 떴는데 창을 통해 들어오는 햇살이 너무 맑아서, 그날따라 커텐을 치지 않고 잠드는 바람에 침대 ",글,"연예계물, 리얼물, 일상물, 재회물","달달물, 잔잔물, 비밀연애, 일상물, 오해","다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공","다정수, 단정수, 상처수, 잔망수, 순진수",,,,,,,상대방을 향한 마음을 깨닫고 고백하는 주인공의 심리를 다룬 리얼물,"내가 널 좋아하나봐, 이승협 너도 더 열심히 해야겠다","{""id"":""131"",""category"":""글"",""genres"":[""리얼물"",""현대물""],""keywords"":[""짝사랑""],""top"":[""짝사랑공""],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""상대방을 향한 마음을 깨닫고 고백하는 주인공의 심리를 다룬 리얼물"",""evidence"":""내가 널 좋아하나봐, 이승협 너도 더 열심히 해야겠다"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 21:47,,Y,하루의 마무리,2,연재중,숫자회차,Y,"장르: 리얼물, 현대물 -> 연예계물, 리얼물, 일상물, 현대물, 재회물 / 키워드: 짝사랑 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 / 공: 짝사랑공 -> 다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공 / 수: (빈칸) -> 다정수, 단정수, 상처수, 잔망수, 순진수",Y,"장르 현대물 제거: 연예계물, 리얼물, 일상물, 현대물, 재회물 -> 연예계물, 리얼물, 일상물, 재회물 / 키워드 5개 제한: 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해"
알오물,lily,2025-12-30,https://www.postype.com/@19921995/post/21204707,X,O,"lily 2025. 12. 30.  ·  무정형 구독 알오물 우성 알파 이승협 X 열성 오메가 유회승2 소재, 용어 주의성인물인 이유는 그저 소재가 조금 걸리는 것 뿐... 보고 ",글,오메가버스,외전,우성알파공,열성오메가수,,,,,,,우성 알파 이승협과 열성 오메가 유회승의 오메가버스물 연작,"우성 알파 이승협 X 열성 오메가 유회승2, 알오물","{""id"":""132"",""category"":""글"",""genres"":[""오메가버스""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""우성 알파 이승협과 열성 오메가 유회승의 오메가버스물 연작"",""evidence"":""우성 알파 이승협 X 열성 오메가 유회승2, 알오물"",""confidence"":0.95,""note"":""미리보기 기반 분류""}",0.95,2026-06-14 21:47,,Y,알오물,,연재중,반복제목,Y,"장르: 오메가버스 -> 현대물, 오메가버스 / 키워드: (빈칸) -> 외전 / 공: (빈칸) -> 우성알파공 / 수: (빈칸) -> 열성오메가수",Y,"장르 현대물 제거: 현대물, 오메가버스 -> 오메가버스"
[혚쾌] 암스테르담행 야간열차,사이,2025-12-28,https://www.postype.com/@42shhs/post/21212964,X,O,사이 2025. 12. 28.  ·  해가 뜨지 않을 때까지 [혚쾌] 암스테르담행 야간열차 이승협 X 유회승 12월의 베를린도 겨울을 지나는 중이었다. 종일 흐렸던 하늘은 결국 밤,글,현대물,여행,,,,,여행,,,,베를린에서 암스테르담으로 향하는 야간열차 배경의 현대물,"암스테르담행 야간열차, 이승협 X 유회승, 베를린","{""id"":""133"",""category"":""글"",""genres"":[""현대물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""여행""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""베를린에서 암스테르담으로 향하는 야간열차 배경의 현대물"",""evidence"":""암스테르담행 야간열차, 이승협 X 유회승, 베를린"",""confidence"":0.85,""note"":""미리보기 기반 분류""}",0.85,2026-06-14 21:47,keyword: 여행,,,,,,,,,
알오물,lily,2025-12-26,https://www.postype.com/@19921995/post/21122297,X,O,"lily 2025. 12. 26.  ·  무정형 구독 알오물 우성 알파 이승협 X 열성 오메가 유회승 소재, 용어 주의보고 싶은 것 위주, 맥락 없음사실 위태위태한 느낌을 써 보고",글,오메가버스,외전,우성알파공,열성오메가수,,,,,,,우성 알파 이승협과 열성 오메가 유회승의 오메가버스물,"우성 알파 이승협 X 열성 오메가 유회승, 알오물","{""id"":""134"",""category"":""글"",""genres"":[""오메가버스""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""우성 알파 이승협과 열성 오메가 유회승의 오메가버스물"",""evidence"":""우성 알파 이승협 X 열성 오메가 유회승, 알오물"",""confidence"":0.95,""note"":""미리보기 기반 분류""}",0.95,2026-06-14 21:47,,Y,알오물,,연재중,반복제목,Y,"장르: 오메가버스 -> 현대물, 오메가버스 / 키워드: (빈칸) -> 외전 / 공: (빈칸) -> 우성알파공 / 수: (빈칸) -> 열성오메가수",Y,"장르 현대물 제거: 현대물, 오메가버스 -> 오메가버스"
what’s wrong with yoo(B),김쏠,2025-12-25,https://www.postype.com/@kim-ssoll/post/21181646,X,O,김쏠 2025. 12. 25.  ·  치킨시킬때불러 what’s wrong with yoo(B) 외계인 혚 X 지구인 쾌 ’뭐야 이거 행성도 바뀔 수 있는 거야?‘ 유회승이 눈앞에,글,판타지,,,,,,외계인,,,,외계인 공과 지구인 수의 이야기를 다룬 판타지물,외계인 혚 X 지구인 쾌,"{""id"":""135"",""category"":""글"",""genres"":[""판타지""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""외계인""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""외계인 공과 지구인 수의 이야기를 다룬 판타지물"",""evidence"":""외계인 혚 X 지구인 쾌"",""confidence"":0.9,""note"":""미리보기 기반 분류""}",0.9,2026-06-14 21:47,,,,,,,,,,
크리스마스에는 사랑을,이오,2025-12-24,https://www.postype.com/@92x954ever/post/21160451,X,X,이오 2025. 12. 24.  ·  때를 놓친 사랑은 재난일 뿐이다 크리스마스에는 사랑을 🎁💝🎅🎄 사흘간의 콘서트가 무사히 막을 내렸다. 스탭들의 환호를 뒤로한 채 대기실로 들어,글,리얼물,"달달물, 비밀연애",,,,,크리스마스,,,,콘서트가 끝난 후 크리스마스 이브를 함께 보내는 연인의 달달한 일상,"이승협 X 유회승, 연인, 크리스마스 이브","{""id"":""136"",""category"":""글"",""genres"":[""리얼물"",""현대물""],""keywords"":[""달달물"",""비밀연애""],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""크리스마스""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""콘서트가 끝난 후 크리스마스 이브를 함께 보내는 연인의 달달한 일상"",""evidence"":""이승협 X 유회승, 연인, 크리스마스 이브"",""confidence"":0.9,""note"":""본문 텍스트 기반 분류""}",0.9,2026-06-14 21:47,,,,,,,,,Y,"장르 현대물 제거: 리얼물, 현대물 -> 리얼물"
혚쾌,입수,2025-12-24,https://www.postype.com/@gggggobugi/post/21173326,X,X,입수 2025. 12. 24.  ·  끌페를해볼까 구독 혚쾌 미리 메리 크리스마스 머리의 별과 하늘에 눈이 닿으면 날 안아주세요 붉게 번져요 하얀 크리스마스잖아요 🎄☃️ 혚쾌 끌페,글,현대물,,,,,,크리스마스,,,,크리스마스를 배경으로 한 두 사람의 현대물,"혚쾌, 미리 메리 크리스마스","{""id"":""137"",""category"":""글"",""genres"":[""현대물""],""keywords"":[],""top"":[],""bottom"":[],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""크리스마스""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""크리스마스를 배경으로 한 두 사람의 현대물"",""evidence"":""혚쾌, 미리 메리 크리스마스"",""confidence"":0.8,""note"":""본문 텍스트 기반 분류""}",0.8,2026-06-14 21:47,,Y,혚쾌,,연재중,반복제목,,,,
극야 上,씅,2025-12-23,https://www.postype.com/@sseunggu/post/20674414,X,X,씅 2025. 12. 23.  ·  N.Flying 구독 극야 上 혚쾌(학) 행사의 시작을 알리는 디스플레이와 조명에 눈살을 찌뿌렸다. 사회자의 우렁찬 목소리를 시작으로 형식적인 ,글,"피폐물, 첫사랑물","원나잇, 상처, 오해, 첫사랑, 짝사랑","집착공, 다정공","상처수, 까칠수, 무심수",,,"자서전작가, 도지사아들",,,,도지사 아들 회승과 자서전 작가 승협의 만남과 과거 첫사랑의 기억,"도지사 아들의 가정친화 활동, 이승협 작가, 김재현을 사랑하고 있었을까","{""id"":""138"",""category"":""글"",""genres"":[""현대물"",""첫사랑물""],""keywords"":[""첫사랑"",""짝사랑"",""상처""],""top"":[""다정공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""자서전작가"",""도지사아들""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""도지사 아들 회승과 자서전 작가 승협의 만남과 과거 첫사랑의 기억"",""evidence"":""도지사 아들의 가정친화 활동, 이승협 작가, 김재현을 사랑하고 있었을까"",""confidence"":0.85,""note"":""미리보기 및 본문 일부 기준 분류""}",0.85,2026-06-14 21:48,,Y,극야,上,완결,하편표기,Y,"장르: 현대물, 첫사랑물 -> 현대물, 피폐물, 첫사랑물 / 키워드: 첫사랑, 짝사랑, 상처 -> 원나잇, 상처, 오해, 첫사랑, 짝사랑 / 공: 다정공 -> 집착공, 다정공 / 수: 상처수 -> 상처수, 까칠수, 무심수",Y,"장르 현대물 제거: 현대물, 피폐물, 첫사랑물 -> 피폐물, 첫사랑물"
karma cXmes A,이오,2025-12-17,https://www.postype.com/@92x954ever/post/20791979,X,X,이오 2025. 12. 17.  ·  때를 놓친 사랑은 재난일 뿐이다 karma cXmes A 왁자지껄하던 술자리가 잠시 소강 상태에 접어들었다. 방금까지 쉬지 않고 입을 놀리던 ,글,재회물,"재회, 상처, 후회","헤테로공, 후회공",상처수,,,"기자, 방송국",,,,헤테로 구남친 승협을 잊지 못하는 회승과 방송국 다큐 프로젝트,"헤테로였지, 이승협 X 유회승, SBC 방송국 특집 다큐","{""id"":""139"",""category"":""글"",""genres"":[""현대물"",""재회물""],""keywords"":[""재회"",""상처"",""후회""],""top"":[""헤테로공"",""후회공""],""bottom"":[""상처수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""기자"",""방송국""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""헤테로 구남친 승협을 잊지 못하는 회승과 방송국 다큐 프로젝트"",""evidence"":""헤테로였지, 이승협 X 유회승, SBC 방송국 특집 다큐"",""confidence"":0.85,""note"":""미리보기 및 본문 일부 기준 분류""}",0.85,2026-06-14 21:48,,,,,,,,,Y,"장르 현대물 제거: 현대물, 재회물 -> 재회물"
하루의 마무리,터넛,2025-12-17,https://www.postype.com/@tternut/post/21126461,X,O,"터넛 2025. 12. 17.  ·  행복해버리기 하루의 마무리 ""회승아 나와도 될거 같아."" ""넹. 나갈게요."" ""어. 거기 나 옷 두고 나온거, 같이 좀 챙겨줘"" 후- 녹음을 ",글,"연예계물, 리얼물, 일상물, 재회물","달달물, 잔잔물, 비밀연애, 일상물, 오해","다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공","다정수, 단정수, 상처수, 잔망수, 순진수",,,녹음실,,,,녹음실에서 일상을 마무리하는 승협과 회승의 달달한 일상,"회승아 나와도 될거 같아, 녹음을","{""id"":""140"",""category"":""글"",""genres"":[""현대물"",""리얼물""],""keywords"":[""달달물"",""일상물""],""top"":[""다정공""],""bottom"":[""다정수""],""ending"":[],""suggested_genres"":[],""suggested_keywords"":[""녹음실""],""suggested_top"":[],""suggested_bottom"":[],""suggested_ending"":[],""summary"":""녹음실에서 일상을 마무리하는 승협과 회승의 달달한 일상"",""evidence"":""회승아 나와도 될거 같아, 녹음을"",""confidence"":0.8,""note"":""미리보기 기준 분류""}",0.8,2026-06-14 21:48,,Y,하루의 마무리,,연재중,숫자회차,Y,"장르: 현대물, 리얼물 -> 연예계물, 리얼물, 일상물, 현대물, 재회물 / 키워드: 달달물, 일상물 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 / 공: 다정공 -> 다정공, 후회공, 상처공, 무심공, 연예인공, 능글공, 순정공, 직진공, 짝사랑공 / 수: 다정수 -> 다정수, 단정수, 상처수, 잔망수, 순진수",Y,"장르 현대물 제거: 연예계물, 리얼물, 일상물, 현대물, 재회물 -> 연예계물, 리얼물, 일상물, 재회물 / 키워드 5개 제한: 달달물, 잔잔물, 비밀연애, 일상물, 오해, 상처, 권태기, 동거, 후회, 질투, 삼각관계, 재회, 멤버간연애, 첫사랑, 사내연애, 짝사랑 -> 달달물, 잔잔물, 비밀연애, 일상물, 오해"
